Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,PK,PKatt,Matches
27,José Ángel,es ESP,DF,Osasuna,31,1989,12.0,1,11,3,27.3,0.91,0.25,0.09,0.33,0,0,Matches
28,Josep Antoni Gayá,es ESP,DF,Mallorca,21,2000,0.6,0,0,0,,0.00,0.00,,,0,0,Matches
29,Mauro Arambarri,uy URU,MF,Getafe,25,1995,29.6,0,37,8,21.6,1.25,0.27,0.00,0.00,0,0,Matches
30,Néstor Araujo,mx MEX,DF,Celta Vigo,29,1991,29.1,0,8,1,12.5,0.28,0.03,0.00,0.00,0,0,Matches
31,Ronald Araújo,uy URU,DF,Barcelona,22,1999,25.2,4,18,10,55.6,0.71,0.40,0.22,0.40,0,0,Matches
32,Jesús Areso,es ESP,DF,Osasuna,22,1999,2.1,0,0,0,,0.00,0.00,,,0,0,Matches
33,Matias Arezo,uy URU,FW,Granada,18,2002,1.8,0,5,3,60.0,2.78,1.67,0.00,0.00,0,0,Matches
34,Santiago Arias,co COL,DF,Granada,29,1992,4.9,1,3,1,33.3,0.61,0.20,0.33,1.00,0,0,Matches
35,Santiago Arzamendia,py PAR,MF,Cádiz,23,1998,5.2,1,7,1,14.3,1.34,0.19,0.14,1.00,0,0,Matches
36,Sergio Asenjo,es ESP,GK,Villarreal,32,1989,6.0,0,0,0,,0.00,0.00,,,0,0,Matches
37,Alejandro Asensio,es ESP,FW,Rayo Vallecano,20,2000,0.1,0,1,1,100.0,7.50,7.50,0.00,0.00,0,0,Matches
38,Marco Asensio,es ESP,"FW,MF",Real Madrid,25,1996,19.2,10,64,34,53.1,3.33,1.77,0.16,0.29,0,0,Matches
39,Iago Aspas,es ESP,FW,Celta Vigo,33,1987,34.3,18,90,41,45.6,2.62,1.20,0.17,0.37,3,5,Matches
40,Pierre-Emerick Aubameyang,ga GAB,FW,Barcelona,32,1989,12.0,11,36,19,52.8,2.99,1.58,0.31,0.58,0,0,Matches
41,Ludwig Augustinsson,se SWE,"DF,MF",Sevilla,27,1994,8.8,0,4,2,50.0,0.45,0.23,0.00,0.00,0,0,Matches
42,Serge Aurier,ci CIV,DF,Villarreal,28,1992,11.2,0,11,2,18.2,0.98,0.18,0.00,0.00,0,0,Matches
43,Ezequiel Ávila,ar ARG,"FW,MF",Osasuna,27,1994,20.8,6,63,16,25.4,3.03,0.77,0.08,0.31,1,1,Matches
