Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Unnamed: 24_level_0
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
113,Sergio Camello,es ESP,FW,Mirandés,20,2001,36,34,2884,32.0,15,3,18,15,0,2,6,0,0.47,0.09,0.56,0.47,0.56,Matches
114,Eduard Campabadal,es ESP,DF,Lugo,28,1993,25,17,1559,17.3,0,1,1,0,0,0,3,1,0.00,0.06,0.06,0.00,0.06,Matches
115,Gaspar Campos,es ESP,MF,Sporting Gijón,21,2000,37,19,1707,19.0,2,3,5,2,0,0,3,0,0.11,0.16,0.26,0.11,0.26,Matches
116,Víctor Campuzano,es ESP,"MF,FW",Sporting Gijón,24,1997,18,3,484,5.4,1,1,2,1,0,0,0,0,0.19,0.19,0.37,0.19,0.37,Matches
117,Roberto Canella,es ESP,DF,Lugo,33,1988,23,13,1225,13.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
118,Ander Cantero,es ESP,GK,Eibar,26,1995,24,24,2160,24.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
119,Riccardo Capellini,it ITA,"DF,MF",Mirandés,21,2000,22,19,1663,18.5,0,0,0,0,0,0,5,1,0.00,0.00,0.00,0.00,0.00,Matches
120,Álex Cardero,es ESP,MF,Oviedo,17,2003,1,0,15,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
121,Sergi Cardona,es ESP,DF,Las Palmas,22,1999,37,35,3067,34.1,0,1,1,0,0,0,10,0,0.00,0.03,0.03,0.00,0.03,Matches
122,José Carlos,es ESP,DF,Alcorcón,25,1996,10,6,565,6.3,0,0,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,Matches
123,Juan Carlos,es ESP,"MF,FW",Huesca,30,1991,19,6,695,7.7,1,0,1,1,0,0,1,0,0.13,0.00,0.13,0.13,0.13,Matches
124,Juan Carlos,es ESP,GK,Girona,33,1988,38,38,3420,38.0,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
125,Kevin Carlos,es ESP,FW,Huesca,20,2001,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
126,José Carlos Lazo,es ESP,"FW,MF",Almería,25,1996,32,15,1257,14.0,5,2,7,5,0,0,3,0,0.36,0.14,0.50,0.36,0.50,Matches
127,Andrés Caro,es ESP,DF,Málaga,17,2004,7,4,385,4.3,0,0,0,0,0,0,3,0,0.00,0.00,0.00,0.00,0.00,Matches
128,Sergio Carreira,es ESP,"DF,MF",Mirandés,20,2000,38,35,3004,33.4,1,3,4,1,0,0,4,0,0.03,0.09,0.12,0.03,0.12,Matches
129,Daniel Carriço,pt POR,DF,Almería,32,1988,6,3,219,2.4,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
130,Ismael Casas Casado,es ESP,DF,Málaga,20,2001,12,10,897,10.0,0,1,1,0,0,0,1,0,0.00,0.10,0.10,0.00,0.10,Matches
131,Sergio Castel,es ESP,FW,Ibiza,26,1995,32,28,2455,27.3,9,2,11,9,0,0,3,0,0.33,0.07,0.40,0.33,0.40,Matches
132,Adri Castellano,es ESP,DF,Ponferradina,27,1994,10,7,643,7.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
133,Rubén Castro,es ESP,FW,Cartagena,40,1981,41,39,3175,35.3,20,6,26,13,7,8,2,0,0.57,0.17,0.74,0.37,0.54,Matches
134,Berto Cayarga,es ESP,MF,Cartagena,24,1996,36,20,1705,18.9,3,2,5,3,0,0,3,0,0.16,0.11,0.26,0.16,0.26,Matches
135,Álex Centelles,es ESP,DF,Almería,23,1997,22,17,1513,16.8,0,1,1,0,0,0,2,0,0.00,0.06,0.06,0.00,0.06,Matches
136,Mike Cevallos,ec ECU,FW,Ibiza,20,2001,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
137,Pablo Chavarría,ar ARG,FW,Málaga,33,1988,15,4,410,4.6,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
138,Pep Chavarría,es ESP,DF,Zaragoza,23,1998,36,36,3086,34.3,0,0,0,0,0,0,7,0,0.00,0.00,0.00,0.00,0.00,Matches
139,Chema,es ESP,DF,Eibar,29,1992,17,9,913,10.1,0,0,0,0,0,0,4,0,0.00,0.00,0.00,0.00,0.00,Matches
